903, 3, D, B, C, E, opennmt-pgcopy, BertSumExtAbs, fast-abs-rl, opennmt-pg
903, 4, E, A, C, B, opennmt-pg, Bart, fast-abs-rl, BertSumExtAbs
903, 5, E, F, A, C, opennmt-pg, T5, Bart, fast-abs-rl
903, 6, E, A, D, F, opennmt-pg, Bart, opennmt-pgcopy, T5
903, 7, D, A, C, F, opennmt-pgcopy, Bart, fast-abs-rl, T5
903, 8, F, C, A, B, T5, fast-abs-rl, Bart, BertSumExtAbs
15097, 0, F, B, D, E, T5, BertSumExtAbs, opennmt-pgcopy, opennmt-pg
15097, 1, B, D, C, F, BertSumExtAbs, opennmt-pgcopy, fast-abs-rl, T5
15097, 2, E, B, D, A, opennmt-pg, BertSumExtAbs, opennmt-pgcopy, Bart
15097, 3, D, B, C, E, opennmt-pgcopy, BertSumExtAbs, fast-abs-rl, opennmt-pg
15097, 4, E, A, C, B, opennmt-pg, Bart, fast-abs-rl, BertSumExtAbs
15097, 5, E, F, A, C, opennmt-pg, T5, Bart, fast-abs-rl
15097, 6, E, A, D, F, opennmt-pg, Bart, opennmt-pgcopy, T5
15097, 7, D, A, C, F, opennmt-pgcopy, Bart, fast-abs-rl, T5
15097, 8, F, C, A, B, T5, fast-abs-rl, Bart, BertSumExtAbs
3298, 0, F, B, D, E, T5, BertSumExtAbs, opennmt-pgcopy, opennmt-pg
3298, 1, B, D, C, F, BertSumExtAbs, opennmt-pgcopy, fast-abs-rl, T5
3298, 2, E, B, D, A, opennmt-pg, BertSumExtAbs, opennmt-pgcopy, Bart
3298, 3, D, B, C, E, opennmt-pgcopy, BertSumExtAbs, fast-abs-rl, opennmt-pg
3298, 4, E, A, C, B, opennmt-pg, Bart, fast-abs-rl, BertSumExtAbs
3298, 5, E, F, A, C, opennmt-pg, T5, Bart, fast-abs-rl
3298, 6, E, A, D, F, opennmt-pg, Bart, opennmt-pgcopy, T5
3298, 7, D, A, C, F, opennmt-pgcopy, Bart, fast-abs-rl, T5
3298, 8, F, C, A, B, T5, fast-abs-rl, Bart, BertSumExtAbs
16381, 0, F, B, D, E, T5, BertSumExtAbs, opennmt-pgcopy, opennmt-pg
16381, 1, B, D, C, F, BertSumExtAbs, opennmt-pgcopy, fast-abs-rl, T5
16381, 2, E, B, D, A, opennmt-pg, BertSumExtAbs, opennmt-pgcopy, Bart
16381, 3, D, B, C, E, opennmt-pgcopy, BertSumExtAbs, fast-abs-rl, opennmt-pg
16381, 4, E, A, C, B, opennmt-pg, Bart, fast-abs-rl, BertSumExtAbs
16381, 5, E, F, A, C, opennmt-pg, T5, Bart, fast-abs-rl
16381, 6, E, A, D, F, opennmt-pg, Bart, opennmt-pgcopy, T5
16381, 7, D, A, C, F, opennmt-pgcopy, Bart, fast-abs-rl, T5
16381, 8, F, C, A, B, T5, fast-abs-rl, Bart, BertSumExtAbs
4287, 0, F, B, D, E, T5, BertSumExtAbs, opennmt-pgcopy, opennmt-pg
4287, 1, B, D, C, F, BertSumExtAbs, opennmt-pgcopy, fast-abs-rl, T5
4287, 2, E, B, D, A, opennmt-pg, BertSumExtAbs, opennmt-pgcopy, Bart
4287, 3, D, B, C, E, opennmt-pgcopy, BertSumExtAbs, fast-abs-rl, opennmt-pg
4287, 4, E, A, C, B, opennmt-pg, Bart, fast-abs-rl, BertSumExtAbs
4287, 5, E, F, A, C, opennmt-pg, T5, Bart, fast-abs-rl
4287, 6, E, A, D, F, opennmt-pg, Bart, opennmt-pgcopy, T5
4287, 7, D, A, C, F, opennmt-pgcopy, Bart, fast-abs-rl, T5
4287, 8, F, C, A, B, T5, fast-abs-rl, Bart, BertSumExtAbs
5558, 0, F, B, D, E, T5, BertSumExtAbs, opennmt-pgcopy, opennmt-pg
5558, 1, B, D, C, F, BertSumExtAbs, opennmt-pgcopy, fast-abs-rl, T5
5558, 2, E, B, D, A, opennmt-pg, BertSumExtAbs, opennmt-pgcopy, Bart
5558, 3, D, B, C, E, opennmt-pgcopy, BertSumExtAbs, fast-abs-rl, opennmt-pg
5558, 4, E, A, C, B, opennmt-pg, Bart, fast-abs-rl, BertSumExtAbs
5558, 5, E, F, A, C, opennmt-pg, T5, Bart, fast-abs-rl
5558, 6, E, A, D, F, opennmt-pg, Bart, opennmt-pgcopy, T5
5558, 7, D, A, C, F, opennmt-pgcopy, Bart, fast-abs-rl, T5
5558, 8, F, C, A, B, T5, fast-abs-rl, Bart, BertSumExtAbs
5949, 0, F, B, D, E, T5, BertSumExtAbs, opennmt-pgcopy, opennmt-pg
5949, 1, B, D, C, F, BertSumExtAbs, opennmt-pgcopy, fast-abs-rl, T5
5949, 2, E, B, D, A, opennmt-pg, BertSumExtAbs, opennmt-pgcopy, Bart
5949, 3, D, B, C, E, opennmt-pgcopy, BertSumExtAbs, fast-abs-rl, opennmt-pg
5949, 4, E, A, C, B, opennmt-pg, Bart, fast-abs-rl, BertSumExtAbs
5949, 5, E, F, A, C, opennmt-pg, T5, Bart, fast-abs-rl
5949, 6, E, A, D, F, opennmt-pg, Bart, opennmt-pgcopy, T5
5949, 7, D, A, C, F, opennmt-pgcopy, Bart, fast-abs-rl, T5
5949, 8, F, C, A, B, T5, fast-abs-rl, Bart, BertSumExtAbs
7849, 0, F, B, D, E, T5, BertSumExtAbs, opennmt-pgcopy, opennmt-pg
7849, 1, B, D, C, F, BertSumExtAbs, opennmt-pgcopy, fast-abs-rl, T5
7849, 2, E, B, D, A, opennmt-pg, BertSumExtAbs, opennmt-pgcopy, Bart
7849, 3, D, B, C, E, opennmt-pgcopy, BertSumExtAbs, fast-abs-rl, opennmt-pg
7849, 4, E, A, C, B, opennmt-pg, Bart, fast-abs-rl, BertSumExtAbs
