11534, 5, C, F, D, B, fast-abs-rl, T5, opennmt-pgcopy, BertSumExtAbs
11534, 6, A, E, F, D, Bart, opennmt-pg, T5, opennmt-pgcopy
11534, 7, E, A, D, B, opennmt-pg, Bart, opennmt-pgcopy, BertSumExtAbs
11534, 8, C, F, A, B, fast-abs-rl, T5, Bart, BertSumExtAbs
903, 0, E, C, D, B, opennmt-pg, fast-abs-rl, opennmt-pgcopy, BertSumExtAbs
903, 1, A, D, E, C, Bart, opennmt-pgcopy, opennmt-pg, fast-abs-rl
903, 2, F, E, A, B, T5, opennmt-pg, Bart, BertSumExtAbs
903, 3, E, B, F, C, opennmt-pg, BertSumExtAbs, T5, fast-abs-rl
903, 4, D, F, C, A, opennmt-pgcopy, T5, fast-abs-rl, Bart
903, 5, C, F, D, B, fast-abs-rl, T5, opennmt-pgcopy, BertSumExtAbs
903, 6, A, E, F, D, Bart, opennmt-pg, T5, opennmt-pgcopy
903, 7, E, A, D, B, opennmt-pg, Bart, opennmt-pgcopy, BertSumExtAbs
903, 8, C, F, A, B, fast-abs-rl, T5, Bart, BertSumExtAbs
15097, 0, E, C, D, B, opennmt-pg, fast-abs-rl, opennmt-pgcopy, BertSumExtAbs
15097, 1, A, D, E, C, Bart, opennmt-pgcopy, opennmt-pg, fast-abs-rl
15097, 2, F, E, A, B, T5, opennmt-pg, Bart, BertSumExtAbs
15097, 3, E, B, F, C, opennmt-pg, BertSumExtAbs, T5, fast-abs-rl
15097, 4, D, F, C, A, opennmt-pgcopy, T5, fast-abs-rl, Bart
15097, 5, C, F, D, B, fast-abs-rl, T5, opennmt-pgcopy, BertSumExtAbs
15097, 6, A, E, F, D, Bart, opennmt-pg, T5, opennmt-pgcopy
15097, 7, E, A, D, B, opennmt-pg, Bart, opennmt-pgcopy, BertSumExtAbs
15097, 8, C, F, A, B, fast-abs-rl, T5, Bart, BertSumExtAbs
3298, 0, E, C, D, B, opennmt-pg, fast-abs-rl, opennmt-pgcopy, BertSumExtAbs
3298, 1, A, D, E, C, Bart, opennmt-pgcopy, opennmt-pg, fast-abs-rl
3298, 2, F, E, A, B, T5, opennmt-pg, Bart, BertSumExtAbs
3298, 3, E, B, F, C, opennmt-pg, BertSumExtAbs, T5, fast-abs-rl
3298, 4, D, F, C, A, opennmt-pgcopy, T5, fast-abs-rl, Bart
3298, 5, C, F, D, B, fast-abs-rl, T5, opennmt-pgcopy, BertSumExtAbs
3298, 6, A, E, F, D, Bart, opennmt-pg, T5, opennmt-pgcopy
3298, 7, E, A, D, B, opennmt-pg, Bart, opennmt-pgcopy, BertSumExtAbs
3298, 8, C, F, A, B, fast-abs-rl, T5, Bart, BertSumExtAbs
16381, 0, E, C, D, B, opennmt-pg, fast-abs-rl, opennmt-pgcopy, BertSumExtAbs
16381, 1, A, D, E, C, Bart, opennmt-pgcopy, opennmt-pg, fast-abs-rl
16381, 2, F, E, A, B, T5, opennmt-pg, Bart, BertSumExtAbs
16381, 3, E, B, F, C, opennmt-pg, BertSumExtAbs, T5, fast-abs-rl
16381, 4, D, F, C, A, opennmt-pgcopy, T5, fast-abs-rl, Bart
16381, 5, C, F, D, B, fast-abs-rl, T5, opennmt-pgcopy, BertSumExtAbs
16381, 6, A, E, F, D, Bart, opennmt-pg, T5, opennmt-pgcopy
16381, 7, E, A, D, B, opennmt-pg, Bart, opennmt-pgcopy, BertSumExtAbs
16381, 8, C, F, A, B, fast-abs-rl, T5, Bart, BertSumExtAbs
4287, 0, E, C, D, B, opennmt-pg, fast-abs-rl, opennmt-pgcopy, BertSumExtAbs
4287, 1, A, D, E, C, Bart, opennmt-pgcopy, opennmt-pg, fast-abs-rl
4287, 2, F, E, A, B, T5, opennmt-pg, Bart, BertSumExtAbs
4287, 3, E, B, F, C, opennmt-pg, BertSumExtAbs, T5, fast-abs-rl
4287, 4, D, F, C, A, opennmt-pgcopy, T5, fast-abs-rl, Bart
4287, 5, C, F, D, B, fast-abs-rl, T5, opennmt-pgcopy, BertSumExtAbs
4287, 6, A, E, F, D, Bart, opennmt-pg, T5, opennmt-pgcopy
4287, 7, E, A, D, B, opennmt-pg, Bart, opennmt-pgcopy, BertSumExtAbs
4287, 8, C, F, A, B, fast-abs-rl, T5, Bart, BertSumExtAbs
5558, 0, E, C, D, B, opennmt-pg, fast-abs-rl, opennmt-pgcopy, BertSumExtAbs
5558, 1, A, D, E, C, Bart, opennmt-pgcopy, opennmt-pg, fast-abs-rl
5558, 2, F, E, A, B, T5, opennmt-pg, Bart, BertSumExtAbs
5558, 3, E, B, F, C, opennmt-pg, BertSumExtAbs, T5, fast-abs-rl
5558, 4, D, F, C, A, opennmt-pgcopy, T5, fast-abs-rl, Bart
5558, 5, C, F, D, B, fast-abs-rl, T5, opennmt-pgcopy, BertSumExtAbs
5558, 6, A, E, F, D, Bart, opennmt-pg, T5, opennmt-pgcopy
5558, 7, E, A, D, B, opennmt-pg, Bart, opennmt-pgcopy, BertSumExtAbs
5558, 8, C, F, A, B, fast-abs-rl, T5, Bart, BertSumExtAbs
5949, 0, E, C, D, B, opennmt-pg, fast-abs-rl, opennmt-pgcopy, BertSumExtAbs
5949, 1, A, D, E, C, Bart, opennmt-pgcopy, opennmt-pg, fast-abs-rl
5949, 2, F, E, A, B, T5, opennmt-pg, Bart, BertSumExtAbs
5949, 3, E, B, F, C, opennmt-pg, BertSumExtAbs, T5, fast-abs-rl
5949, 4, D, F, C, A, opennmt-pgcopy, T5, fast-abs-rl, Bart
5949, 5, C, F, D, B, fast-abs-rl, T5, opennmt-pgcopy, BertSumExtAbs
5949, 6, A, E, F, D, Bart, opennmt-pg, T5, opennmt-pgcopy
5949, 7, E, A, D, B, opennmt-pg, Bart, opennmt-pgcopy, BertSumExtAbs
5949, 8, C, F, A, B, fast-abs-rl, T5, Bart, BertSumExtAbs
7849, 0, E, C, D, B, opennmt-pg, fast-abs-rl, opennmt-pgcopy, BertSumExtAbs
7849, 1, A, D, E, C, Bart, opennmt-pgcopy, opennmt-pg, fast-abs-rl
7849, 2, F, E, A, B, T5, opennmt-pg, Bart, BertSumExtAbs
7849, 3, E, B, F, C, opennmt-pg, BertSumExtAbs, T5, fast-abs-rl
7849, 4, D, F, C, A, opennmt-pgcopy, T5, fast-abs-rl, Bart
7849, 5, C, F, D, B, fast-abs-rl, T5, opennmt-pgcopy, BertSumExtAbs
7849, 6, A, E, F, D, Bart, opennmt-pg, T5, opennmt-pgcopy
7849, 7, E, A, D, B, opennmt-pg, Bart, opennmt-pgcopy, BertSumExtAbs
7849, 8, C, F, A, B, fast-abs-rl, T5, Bart, BertSumExtAbs
1248, 0, E, C, D, B, opennmt-pg, fast-abs-rl, opennmt-pgcopy, BertSumExtAbs
1248, 1, A, D, E, C, Bart, opennmt-pgcopy, opennmt-pg, fast-abs-rl
1248, 2, F, E, A, B, T5, opennmt-pg, Bart, BertSumExtAbs
